"NewQuestion","MC",""
"ID","2MeanPESEMC2-1",""
"Title","2MeanPESEMC2-1",""
"QuestionText","A new cardiovascular medication was administered to a single group of subjects. The subjects' heartrates (bpm) were monitored and recorded twice: once before administering the medicine and once after. The standard deviation of the differences between heartrates at the two times was 22.59. What is the point estimate of the average difference in heartrates between the two times (Before - After)?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/2MeanPESEMC2-1.jpeg",""
"Option","0","-16.48"
"Option","0","-10.01"
"Option","100","-14"
"Option","0","-11.18"
"Option","0","-14.85"
"Hint","Are the groups independent or dependent? Are you looking for center or spread? Pick the closest answer.",""
"Feedback","Point Estimate = mean(Before - After). SE = sd/sqrt(n).",""
"NewQuestion","MC",""
"ID","2MeanPESEMC2-2",""
"Title","2MeanPESEMC2-2",""
"QuestionText","A new cardiovascular medication was administered to a single group of subjects. The subjects' heartrates (bpm) were monitored and recorded twice: once before administering the medicine and once after. The standard deviation of the differences between heartrates at the two times was 14.02. What is the point estimate of the average difference in heartrates between the two times (Before - After)?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/2MeanPESEMC2-2.jpeg",""
"Option","0","-14.82"
"Option","100","-11.33"
"Option","0","-7.01"
"Option","0","-9.81"
"Option","0","-8.82"
"Hint","Are the groups independent or dependent? Are you looking for center or spread? Pick the closest answer.",""
"Feedback","Point Estimate = mean(Before - After). SE = sd/sqrt(n).",""
"NewQuestion","MC",""
"ID","2MeanPESEMC2-3",""
"Title","2MeanPESEMC2-3",""
"QuestionText","A new cardiovascular medication was administered to a single group of subjects. The subjects' heartrates (bpm) were monitored and recorded twice: once before administering the medicine and once after. The standard deviation of the differences between heartrates at the two times was 22.83. What is the point estimate of the average difference in heartrates between the two times (Before - After)?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/2MeanPESEMC2-3.jpeg",""
"Option","100","-5.17"
"Option","0","-8.61"
"Option","0","-6.48"
"Option","0","-8.99"
"Option","0","-8.34"
"Hint","Are the groups independent or dependent? Are you looking for center or spread? Pick the closest answer.",""
"Feedback","Point Estimate = mean(Before - After). SE = sd/sqrt(n).",""
"NewQuestion","MC",""
"ID","2MeanPESEMC2-4",""
"Title","2MeanPESEMC2-4",""
"QuestionText","A new cardiovascular medication was administered to a single group of subjects. The subjects' heartrates (bpm) were monitored and recorded twice: once before administering the medicine and once after. The standard deviation of the differences between heartrates at the two times was 30.01. What is the point estimate of the average difference in heartrates between the two times (Before - After)?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/2MeanPESEMC2-4.jpeg",""
"Option","0","-14.31"
"Option","0","-12.42"
"Option","100","-12.17"
"Option","0","-16.94"
"Option","0","-16.47"
"Hint","Are the groups independent or dependent? Are you looking for center or spread? Pick the closest answer.",""
"Feedback","Point Estimate = mean(Before - After). SE = sd/sqrt(n).",""
"NewQuestion","MC",""
