"NewQuestion","MC",""
"ID","2MeanTestMC3-1",""
"Title","2MeanTestMC3-1",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.0099 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Fail to reject the null hypothesis."
"Option","100","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-2",""
"Title","2MeanTestMC3-2",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.9114 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Fail to reject the null hypothesis."
"Option","0","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-3",""
"Title","2MeanTestMC3-3",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.4748 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Fail to reject the null hypothesis."
"Option","0","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-4",""
"Title","2MeanTestMC3-4",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.033 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Reject the null hypothesis."
"Option","0","Fail to reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-5",""
"Title","2MeanTestMC3-5",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.0378 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Fail to reject the null hypothesis."
"Option","100","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-6",""
"Title","2MeanTestMC3-6",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.872 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Fail to reject the null hypothesis."
"Option","0","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-7",""
"Title","2MeanTestMC3-7",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.3939 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Fail to reject the null hypothesis."
"Option","0","Reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-8",""
"Title","2MeanTestMC3-8",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.0128 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Reject the null hypothesis."
"Option","0","Fail to reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
"NewQuestion","MC",""
"ID","2MeanTestMC3-9",""
"Title","2MeanTestMC3-9",""
"QuestionText","A researcher runs a hypothesis test on the difference between two means. She finds the p-value of the test is 0.0238 What is the appropriate decision at the 5% significance level?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Reject the null hypothesis."
"Option","0","Fail to reject the null hypothesis."
"Hint","Is the p-value bigger or smaller than 0.05?",""
"Feedback","Reject when p-value <= 0.05.",""
