"NewQuestion","MC",""
"ID","2PropPESEMC1-1",""
"Title","2PropPESEMC1-1",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.66 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.55 of this second group dies as a result. 52 beetles are in the first test-pesticide group and 70 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.2"
"Option","100","0.09"
"Option","0","0.28"
"Option","0","0.13"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-2",""
"Title","2PropPESEMC1-2",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.69 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.57 of this second group dies as a result. 55 beetles are in the first test-pesticide group and 65 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.21"
"Option","0","0.03"
"Option","0","0.29"
"Option","100","0.12"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-3",""
"Title","2PropPESEMC1-3",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.64 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.54 of this second group dies as a result. 75 beetles are in the first test-pesticide group and 73 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.05"
"Option","100","0.1"
"Option","0","0.17"
"Option","0","0.28"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-4",""
"Title","2PropPESEMC1-4",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.62 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.5 of this second group dies as a result. 62 beetles are in the first test-pesticide group and 54 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.24"
"Option","100","0.09"
"Option","0","0.12"
"Option","0","0.3"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-5",""
"Title","2PropPESEMC1-5",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.65 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.52 of this second group dies as a result. 51 beetles are in the first test-pesticide group and 63 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.07"
"Option","0","0.19"
"Option","100","0.13"
"Option","0","0.1"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-6",""
"Title","2PropPESEMC1-6",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.61 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.55 of this second group dies as a result. 61 beetles are in the first test-pesticide group and 57 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.03"
"Option","0","0.29"
"Option","100","0.06"
"Option","0","0.26"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-7",""
"Title","2PropPESEMC1-7",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.7 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.55 of this second group dies as a result. 75 beetles are in the first test-pesticide group and 74 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.05"
"Option","100","0.15"
"Option","0","0.03"
"Option","0","0.18"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-8",""
"Title","2PropPESEMC1-8",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.63 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.59 of this second group dies as a result. 59 beetles are in the first test-pesticide group and 52 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.12"
"Option","100","0.04"
"Option","0","0.29"
"Option","0","0.24"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-9",""
"Title","2PropPESEMC1-9",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.67 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.51 of this second group dies as a result. 54 beetles are in the first test-pesticide group and 55 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.12"
"Option","0","0.11"
"Option","100","0.16"
"Option","0","0.27"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-10",""
"Title","2PropPESEMC1-10",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.61 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.58 of this second group dies as a result. 65 beetles are in the first test-pesticide group and 69 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.04"
"Option","0","0.27"
"Option","100","0.08"
"Option","0","0.28"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-11",""
"Title","2PropPESEMC1-11",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.66 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.57 of this second group dies as a result. 70 beetles are in the first test-pesticide group and 54 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.03"
"Option","100","0.09"
"Option","0","0.23"
"Option","0","0.14"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-12",""
"Title","2PropPESEMC1-12",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.63 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.54 of this second group dies as a result. 51 beetles are in the first test-pesticide group and 55 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.1"
"Option","0","0.26"
"Option","0","0.27"
"Option","0","0.28"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-13",""
"Title","2PropPESEMC1-13",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.68 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.52 of this second group dies as a result. 67 beetles are in the first test-pesticide group and 52 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.3"
"Option","0","0.29"
"Option","100","0.09"
"Option","0","0.04"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-14",""
"Title","2PropPESEMC1-14",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.69 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.57 of this second group dies as a result. 66 beetles are in the first test-pesticide group and 60 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.12"
"Option","0","0.09"
"Option","0","0.22"
"Option","0","0.25"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-15",""
"Title","2PropPESEMC1-15",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.63 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.53 of this second group dies as a result. 75 beetles are in the first test-pesticide group and 55 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.23"
"Option","0","0.13"
"Option","100","0.1"
"Option","0","0.19"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-16",""
"Title","2PropPESEMC1-16",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.68 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.57 of this second group dies as a result. 60 beetles are in the first test-pesticide group and 55 beetles are in the second standard-pesticide group. What is the point estimate of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.15"
"Option","0","0.3"
"Option","0","0.01"
"Option","100","0.11"
"Hint","Note that this questions concerns the DIFFERENCE between two proporitons.",""
"Feedback","The difference is p1 - p2. The standard error is sqrt(p1(1-p1)/n1 + p2(1-p2)/n2)",""
"NewQuestion","MC",""
"ID","2PropPESEMC1-17",""
"Title","2PropPESEMC1-17",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.63 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.53 of this second group dies as a result. 66 beetles are in the first test-pesticide group and 72 beetles are in the second standard-pesticide group. What is the standard error of the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.08"
"Option","0","0.04"
"Option","0","0.25"
"Option","0","0.11"
