"NewQuestion","MC",""
"ID","2PropTestMC1-1",""
"Title","2PropTestMC1-1",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.5 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.43 of this second group dies as a result. 115 beetles are in the first test-pesticide group and 150 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","100","1.13"
"Option","0","3.02"
"Option","0","2.7"
"Option","0","2.36"
"Option","0","2.52"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-2",""
"Title","2PropTestMC1-2",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.49 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.37 of this second group dies as a result. 167 beetles are in the first test-pesticide group and 113 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1.76"
"Option","100","2.01"
"Option","0","2.47"
"Option","0","3.9"
"Option","0","1.13"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-3",""
"Title","2PropTestMC1-3",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.49 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.44 of this second group dies as a result. 177 beetles are in the first test-pesticide group and 163 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1.83"
"Option","0","2.48"
"Option","0","0.36"
"Option","0","3"
"Option","100","0.92"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-4",""
"Title","2PropTestMC1-4",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.41 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.37 of this second group dies as a result. 101 beetles are in the first test-pesticide group and 200 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","2.17"
"Option","0","3.02"
"Option","0","3.7"
"Option","0","1.11"
"Option","100","0.67"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-5",""
"Title","2PropTestMC1-5",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.47 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.38 of this second group dies as a result. 126 beetles are in the first test-pesticide group and 198 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1.75"
"Option","100","1.6"
"Option","0","1.19"
"Option","0","2.85"
"Option","0","-0.32"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-6",""
"Title","2PropTestMC1-6",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.42 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.45 of this second group dies as a result. 157 beetles are in the first test-pesticide group and 147 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.22"
"Option","0","1.98"
"Option","0","3.25"
"Option","100","-0.53"
"Option","0","0.22"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-7",""
"Title","2PropTestMC1-7",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.48 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.36 of this second group dies as a result. 173 beetles are in the first test-pesticide group and 174 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","100","2.28"
"Option","0","0.05"
"Option","0","-0.88"
"Option","0","0.48"
"Option","0","-1"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-8",""
"Title","2PropTestMC1-8",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.46 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.43 of this second group dies as a result. 197 beetles are in the first test-pesticide group and 174 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","2"
"Option","0","0.89"
"Option","0","1.09"
"Option","100","0.58"
"Option","0","1.12"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-9",""
"Title","2PropTestMC1-9",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.44 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.43 of this second group dies as a result. 149 beetles are in the first test-pesticide group and 164 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.59"
"Option","0","3.48"
"Option","0","3.31"
"Option","100","0.18"
"Option","0","3.02"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-10",""
"Title","2PropTestMC1-10",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.48 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.41 of this second group dies as a result. 124 beetles are in the first test-pesticide group and 113 beetles are in the second standard-pesticide group. What is the Z test statistic for a hypothesis test on the difference between proportions (first group - second)?",""
"Points","4",""
"Difficulty","1",""
"Option","0","3.07"
"Option","0","1.64"
"Option","100","1.09"
"Option","0","0.62"
"Option","0","2.84"
"Hint","You need to calculate the Z test statistic. Don't take the absolute value. Pick the closest answer.",""
"Feedback","Did you use (phat1 - phat2)/SE?",""
"NewQuestion","MC",""
"ID","2PropTestMC1-11",""
"Title","2PropTestMC1-11",""
