"NewQuestion","MC",""
"ID","BinomApproxMC1-1",""
"Title","BinomApproxMC1-1",""
"QuestionText","A brewery pulls 933 bottles of beer to sample them for quality control. In the past, there has been a 0.12 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that fewer than 153 bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.01"
"Option","100","1"
"Option","0","0.2"
"Option","0","0.9"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-2",""
"Title","BinomApproxMC1-2",""
"QuestionText","A brewery pulls 988 bottles of beer to sample them for quality control. In the past, there has been a 0.12 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that 139 or fewer bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.08"
"Option","100","0.98"
"Option","0","0.55"
"Option","0","0.75"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-3",""
"Title","BinomApproxMC1-3",""
"QuestionText","A brewery pulls 1090 bottles of beer to sample them for quality control. In the past, there has been a 0.15 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that fewer than 160 bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.56"
"Option","100","0.37"
"Option","0","0.9"
"Option","0","0.76"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-4",""
"Title","BinomApproxMC1-4",""
"QuestionText","A brewery pulls 1019 bottles of beer to sample them for quality control. In the past, there has been a 0.13 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that fewer than 144 bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.85"
"Option","0","0.91"
"Option","0","0.18"
"Option","0","0.13"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-5",""
"Title","BinomApproxMC1-5",""
"QuestionText","A brewery pulls 1033 bottles of beer to sample them for quality control. In the past, there has been a 0.14 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that 150 or fewer bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.7"
"Option","0","0.61"
"Option","0","0.62"
"Option","0","0.53"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-6",""
"Title","BinomApproxMC1-6",""
"QuestionText","A brewery pulls 1020 bottles of beer to sample them for quality control. In the past, there has been a 0.12 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that 134 or fewer bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.33"
"Option","0","0.6"
"Option","0","1"
"Option","100","0.88"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-7",""
"Title","BinomApproxMC1-7",""
"QuestionText","A brewery pulls 993 bottles of beer to sample them for quality control. In the past, there has been a 0.12 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that 155 or fewer bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
"Option","100","1"
"Option","0","0.62"
"Option","0","0.71"
"Option","0","0.05"
"Hint","You'll need to apply the normal approximation here.",""
"Feedback","1: Find successes x. 2: Find trials n. 3. Find probability p. 4. Use the normal approximation formula with appropriate continuity correction. 5. Use the z table to find the probability.",""
"NewQuestion","MC",""
"ID","BinomApproxMC1-8",""
"Title","BinomApproxMC1-8",""
"QuestionText","A brewery pulls 931 bottles of beer to sample them for quality control. In the past, there has been a 0.14 probability that a randomly selected bottle of beer is defective. Assuming this trend continues (independence), what is the probability that 125 or fewer bottles of beer in this particular sample are defective?",""
"Points","4",""
"Difficulty","1",""
