"NewQuestion","MC",""
"ID","BinomEVSDMC1-1",""
"Title","BinomEVSDMC1-1",""
"QuestionText","A binomial process has 1156 trials and a probability of success of 0.34. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","71.05"
"Option","100","16.11"
"Option","0","94.91"
"Option","0","5.31"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-2",""
"Title","BinomEVSDMC1-2",""
"QuestionText","A binomial process has 997 trials and a probability of success of 0.24. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","118.22"
"Option","0","96.91"
"Option","100","239.28"
"Option","0","94.79"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-3",""
"Title","BinomEVSDMC1-3",""
"QuestionText","A binomial process has 865 trials and a probability of success of 0.22. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","34.03"
"Option","0","56.48"
"Option","0","35.46"
"Option","100","12.18"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-4",""
"Title","BinomEVSDMC1-4",""
"QuestionText","A binomial process has 885 trials and a probability of success of 0.57. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","163.18"
"Option","0","143.5"
"Option","0","593.76"
"Option","100","504.45"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-5",""
"Title","BinomEVSDMC1-5",""
"QuestionText","A binomial process has 874 trials and a probability of success of 0.68. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","13.79"
"Option","0","99.15"
"Option","0","58.81"
"Option","0","73.1"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-6",""
"Title","BinomEVSDMC1-6",""
"QuestionText","A binomial process has 1467 trials and a probability of success of 0.29. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","44.7"
"Option","0","52.52"
"Option","0","70.53"
"Option","100","17.38"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-7",""
"Title","BinomEVSDMC1-7",""
"QuestionText","A binomial process has 1182 trials and a probability of success of 0.98. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","882.71"
"Option","0","801.42"
"Option","0","826.89"
"Option","100","1158.36"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-8",""
"Title","BinomEVSDMC1-8",""
"QuestionText","A binomial process has 1282 trials and a probability of success of 0.43. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","444.09"
"Option","0","211.03"
"Option","0","583.96"
"Option","100","551.26"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-9",""
"Title","BinomEVSDMC1-9",""
"QuestionText","A binomial process has 1470 trials and a probability of success of 0.66. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","970.2"
"Option","0","541.16"
"Option","0","712.06"
"Option","0","934.01"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-10",""
"Title","BinomEVSDMC1-10",""
"QuestionText","A binomial process has 631 trials and a probability of success of 0.93. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","6.41"
"Option","0","34.83"
"Option","0","19.91"
"Option","0","15.48"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-11",""
"Title","BinomEVSDMC1-11",""
"QuestionText","A binomial process has 747 trials and a probability of success of 0.9. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","23.98"
"Option","0","14.64"
"Option","0","19.09"
"Option","100","8.2"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-12",""
"Title","BinomEVSDMC1-12",""
"QuestionText","A binomial process has 560 trials and a probability of success of 0.75. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","40.32"
"Option","0","48.79"
"Option","100","10.25"
"Option","0","48.93"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-13",""
"Title","BinomEVSDMC1-13",""
"QuestionText","A binomial process has 1240 trials and a probability of success of 0.39. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","26.57"
"Option","0","55.72"
"Option","100","17.18"
"Option","0","37.74"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-14",""
"Title","BinomEVSDMC1-14",""
"QuestionText","A binomial process has 889 trials and a probability of success of 0.93. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","36.52"
"Option","0","93.05"
"Option","0","32.19"
"Option","100","7.61"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-15",""
"Title","BinomEVSDMC1-15",""
"QuestionText","A binomial process has 1268 trials and a probability of success of 0.49. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","316.31"
"Option","0","518.61"
"Option","0","478.91"
"Option","100","621.32"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-16",""
"Title","BinomEVSDMC1-16",""
"QuestionText","A binomial process has 745 trials and a probability of success of 0.47. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","13.62"
"Option","0","64.27"
"Option","0","97.11"
"Option","0","37.62"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-17",""
"Title","BinomEVSDMC1-17",""
"QuestionText","A binomial process has 682 trials and a probability of success of 0.1. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","7.83"
"Option","0","21.57"
"Option","0","71.84"
"Option","0","63.47"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-18",""
"Title","BinomEVSDMC1-18",""
"QuestionText","A binomial process has 1269 trials and a probability of success of 0.41. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","6.2"
"Option","0","305.42"
"Option","100","520.29"
"Option","0","295.72"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-19",""
"Title","BinomEVSDMC1-19",""
"QuestionText","A binomial process has 500 trials and a probability of success of 0.34. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","61.99"
"Option","0","35.68"
"Option","100","10.59"
"Option","0","26.22"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-20",""
"Title","BinomEVSDMC1-20",""
"QuestionText","A binomial process has 1294 trials and a probability of success of 0.36. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","119.7"
"Option","0","6.75"
"Option","100","465.84"
"Option","0","47.01"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-21",""
"Title","BinomEVSDMC1-21",""
"QuestionText","A binomial process has 623 trials and a probability of success of 0.89. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","211.41"
"Option","0","609.36"
"Option","100","554.47"
"Option","0","9.71"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-22",""
"Title","BinomEVSDMC1-22",""
"QuestionText","A binomial process has 1266 trials and a probability of success of 0.86. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1079.95"
"Option","0","890.87"
"Option","100","1088.76"
"Option","0","875.38"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-23",""
"Title","BinomEVSDMC1-23",""
"QuestionText","A binomial process has 1450 trials and a probability of success of 0.28. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","191.83"
"Option","100","406"
"Option","0","493.91"
"Option","0","373.66"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-24",""
"Title","BinomEVSDMC1-24",""
"QuestionText","A binomial process has 842 trials and a probability of success of 0.18. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","91.87"
"Option","100","11.15"
"Option","0","77.47"
"Option","0","58.04"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-25",""
"Title","BinomEVSDMC1-25",""
"QuestionText","A binomial process has 890 trials and a probability of success of 0.2. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","11.93"
"Option","0","58.82"
"Option","0","59.7"
"Option","0","72.53"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-26",""
"Title","BinomEVSDMC1-26",""
"QuestionText","A binomial process has 1326 trials and a probability of success of 0.22. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","101.11"
"Option","100","15.08"
"Option","0","85.41"
"Option","0","51.48"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-27",""
"Title","BinomEVSDMC1-27",""
"QuestionText","A binomial process has 1006 trials and a probability of success of 0.59. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","85.89"
"Option","100","15.6"
"Option","0","83.42"
"Option","0","46.46"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-28",""
"Title","BinomEVSDMC1-28",""
"QuestionText","A binomial process has 1390 trials and a probability of success of 0.27. What is the expected value of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","343.56"
"Option","0","358.55"
"Option","0","157.38"
"Option","100","375.3"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-29",""
"Title","BinomEVSDMC1-29",""
"QuestionText","A binomial process has 1315 trials and a probability of success of 0.12. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","25.59"
"Option","0","30.83"
"Option","0","52.69"
"Option","100","11.78"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-30",""
"Title","BinomEVSDMC1-30",""
"QuestionText","A binomial process has 1247 trials and a probability of success of 0.46. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","35.19"
"Option","100","17.6"
"Option","0","56.77"
"Option","0","56.88"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-31",""
"Title","BinomEVSDMC1-31",""
"QuestionText","A binomial process has 770 trials and a probability of success of 0.19. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","41.62"
"Option","0","91.91"
"Option","0","47.36"
"Option","100","10.89"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-32",""
"Title","BinomEVSDMC1-32",""
"QuestionText","A binomial process has 1458 trials and a probability of success of 0.5. What is the standard deviation of this process' distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","3"
"Option","100","19.09"
"Option","0","27.6"
"Option","0","93.29"
"Hint","Find the appropriate formula from the coursepack's chapter on the binomial distribution.",""
"Feedback","Expected Value = np. Standard Deviation = sqrt(npq).",""
"NewQuestion","MC",""
"ID","BinomEVSDMC1-33",""
"Title","BinomEVSDMC1-33",""
