"NewQuestion","MC",""
"ID","ChisqMC2-1",""
"Title","ChisqMC2-1",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-1.jpeg",""
"Option","100","36"
"Option","0","9"
"Option","0","30"
"Option","0","10"
"Option","0","24"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-2",""
"Title","ChisqMC2-2",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-2.jpeg",""
"Option","0","35"
"Option","0","14"
"Option","0","4"
"Option","100","6"
"Option","0","18"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-3",""
"Title","ChisqMC2-3",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-3.jpeg",""
"Option","0","10"
"Option","0","8"
"Option","0","12"
"Option","100","20"
"Option","0","4"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-4",""
"Title","ChisqMC2-4",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-4.jpeg",""
"Option","0","9"
"Option","100","20"
"Option","0","12"
"Option","0","28"
"Option","0","15"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-5",""
"Title","ChisqMC2-5",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-5.jpeg",""
"Option","100","20"
"Option","0","49"
"Option","0","6"
"Option","0","12"
"Option","0","9"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-6",""
"Title","ChisqMC2-6",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/ChisqMC2-6.jpeg",""
"Option","0","30"
"Option","0","21"
"Option","0","16"
"Option","100","12"
"Option","0","49"
"Hint","You need the formula for degrees of freedom from your chapter on chi squares.",""
"Feedback","df = (#rows - 1)*(#cols - 1)",""
"NewQuestion","MC",""
"ID","ChisqMC2-7",""
"Title","ChisqMC2-7",""
"QuestionText","The above table contains frequency data across two categorical variables. What are the degrees of freedom for the chi square test of association between the two variables?",""
"Points","4",""
"Difficulty","1",""
