"NewQuestion","MC",""
"ID","ConfoundersMC1-1",""
"Title","ConfoundersMC1-1",""
"QuestionText","Some student research assistants are helping study flowers. The study primarily involves three variables. First, the flowers' petal length sometimes leads to a change in a second variable, the flowers' reproductive success. However, sometimes a third variable, the flowers' height (which is associated with the flowers' petal length and causes changes in the flowers' reproductive success) interferes with the result. In statistics, what do we call the flowers' reproductive success?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The Outcome/Effect"
"Option","0","The Probable Cause"
"Option","0","The Confounder"
"Option","0","The Fallacy"
"Option","0","None of the Above"
"Hint",".",""
"Feedback",".",""
"NewQuestion","MC",""
"ID","ConfoundersMC1-2",""
"Title","ConfoundersMC1-2",""
"QuestionText","Some student research assistants are helping study the craft brewing industry. The study primarily involves three variables. First, the size of beer-brewing companies sometimes leads to a change in a second variable, the growth of these companies for the year. However, sometimes a third variable, the average price of their products (which is associated with the size of beer-brewing companies and causes changes in the growth of these companies for the year) interferes with the result. In statistics, what do we call the average price of their products?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The Fallacy"
"Option","0","The Standard Deviation"
"Option","0","The Outcome/Effect"
"Option","100","The Confounder"
"Option","0","None of the Above"
"Hint",".",""
"Feedback",".",""
"NewQuestion","MC",""
"ID","ConfoundersMC1-3",""
"Title","ConfoundersMC1-3",""
"QuestionText","Some student research assistants are helping study the craft brewing industry. The study primarily involves three variables. First, the size of beer-brewing companies sometimes leads to a change in a second variable, the growth of these companies for the year. However, sometimes a third variable, the average price of their products (which is associated with the size of beer-brewing companies and causes changes in the growth of these companies for the year) interferes with the result. In statistics, what do we call the average price of their products?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The Fallacy"
"Option","0","The Standard Deviation"
"Option","0","The Probable Cause"
"Option","100","The Confounder"
"Option","0","All of the Above"
"Hint",".",""
"Feedback",".",""
"NewQuestion","MC",""
"ID","ConfoundersMC1-4",""
"Title","ConfoundersMC1-4",""
"QuestionText","Some student research assistants are helping study mental health. The study primarily involves three variables. First, the amount of time a patient spends outside sometimes leads to a change in a second variable, the state of a patients' depression. However, sometimes a third variable, the patients' occupation (which is associated with the amount of time a patient spends outside and causes changes in the state of a patients' depression) interferes with the result. In statistics, what do we call the state of a patients' depression?",""
"Points","4",""
"Difficulty","1",""
