"NewQuestion","MC",""
"ID","CorrMC2-1",""
"Title","CorrMC2-1",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: 0.85, 0.19, 0.3, -0.6, -0.43, -0.28. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.19"
"Option","0","0.3"
"Option","0","-0.6"
"Option","0","-0.43"
"Option","100","0.85"
"Hint","This is an interpretive question. No calculation is necessary.",""
"Feedback","Stronger correlations are closer to -1 or 1. Weaker correlations are closer to 0.",""
"NewQuestion","MC",""
"ID","CorrMC2-2",""
"Title","CorrMC2-2",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: -0.31, -0.48, 0.18, -0.44, -0.98, -0.16. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.31"
"Option","0","-0.48"
"Option","100","-0.98"
"Option","0","-0.44"
"Option","0","-0.16"
"Hint","This is an interpretive question. No calculation is necessary.",""
"Feedback","Stronger correlations are closer to -1 or 1. Weaker correlations are closer to 0.",""
"NewQuestion","MC",""
"ID","CorrMC2-3",""
"Title","CorrMC2-3",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: -0.97, -0.74, 0.97, -0.08, -0.33, 0.79. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.74"
"Option","0","0.97"
"Option","0","-0.08"
"Option","100","-0.97"
"Option","0","0.79"
"Hint","This is an interpretive question. No calculation is necessary.",""
"Feedback","Stronger correlations are closer to -1 or 1. Weaker correlations are closer to 0.",""
"NewQuestion","MC",""
"ID","CorrMC2-4",""
"Title","CorrMC2-4",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: -0.71, 0.73, -0.72, 0.45, 0.75, 0.82. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.71"
"Option","0","0.73"
"Option","100","0.82"
"Option","0","0.45"
"Option","0","0.75"
"Hint","This is an interpretive question. No calculation is necessary.",""
"Feedback","Stronger correlations are closer to -1 or 1. Weaker correlations are closer to 0.",""
"NewQuestion","MC",""
"ID","CorrMC2-5",""
"Title","CorrMC2-5",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: -0.41, -0.79, 0.56, 0.69, 0.47, -0.23. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.41"
"Option","0","0.56"
"Option","0","0.69"
"Option","0","0.47"
"Option","100","-0.79"
"Hint","This is an interpretive question. No calculation is necessary.",""
"Feedback","Stronger correlations are closer to -1 or 1. Weaker correlations are closer to 0.",""
"NewQuestion","MC",""
"ID","CorrMC2-6",""
"Title","CorrMC2-6",""
"QuestionText","A researcher compares the correlation coefficients between six pairs of variables. She calculates them as follows: 0.8, -0.56, 0.86, 0.59, 0.47, -0.27. Which of the correlations is the strongest?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.8"
"Option","0","-0.56"
"Option","0","0.59"
"Option","0","0.47"
"Option","100","0.86"
