"NewQuestion","MC",""
"ID","ErrorMC1-1",""
"Title","ErrorMC1-1",""
"QuestionText","Researchers examining differences in mean weight loss between groups of people on several diets found that there were significant differences between the groups. In fact, there were significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","100","No Error"
"Option","0","Type 1"
"Option","0","Type 2"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-2",""
"Title","ErrorMC1-2",""
"QuestionText","Researchers examining differences in the proportion of college graduates between groups of people from two separate countries found that there were no significant differences between the groups. In fact, there were no significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","100","No Error"
"Option","0","Type 1"
"Option","0","Type 2"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-3",""
"Title","ErrorMC1-3",""
"QuestionText","Researchers examining differences in mean scores on a reading comprehension exam given to students who declared separate majors found that there were no significant differences between the groups. In fact, there were no significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Type 1"
"Option","0","Type 2"
"Option","100","No Error"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-4",""
"Title","ErrorMC1-4",""
"QuestionText","Researchers examining differences in mean credit card debt between separate classes of students found that there were significant differences between the groups. In fact, there were no significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Type 1"
"Option","0","No Error"
"Option","0","Type 2"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-5",""
"Title","ErrorMC1-5",""
"QuestionText","Researchers examining differences in mean scores on a reading comprehension exam given to students who declared separate majors found that there were no significant differences between the groups. In fact, there were no significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Type 1"
"Option","0","Type 2"
"Option","100","No Error"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-6",""
"Title","ErrorMC1-6",""
"QuestionText","Researchers examining differences in the proportion of college graduates between groups of people from two separate countries found that there were no significant differences between the groups. In fact, there were significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","0","No Error"
"Option","0","Type 1"
"Option","100","Type 2"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-7",""
"Title","ErrorMC1-7",""
"QuestionText","Researchers examining differences in mean weight loss between groups of people on several diets found that there were significant differences between the groups. In fact, there were significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","100","No Error"
"Option","0","Type 2"
"Option","0","Type 1"
"Hint","No Error is not always wrong. It's not a trick answer.",""
"Feedback","Type 1: Finding significant differences when there are none. Type 2: Finding no significant differences when there are some. No Error: Finding the truth.",""
"NewQuestion","MC",""
"ID","ErrorMC1-8",""
"Title","ErrorMC1-8",""
"QuestionText","Researchers examining differences in mean credit card debt between separate classes of students found that there were no significant differences between the groups. In fact, there were significant differences between the groups. What type of error, if any, was committed?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Type 2"
"Option","0","Type 1"
"Option","0","No Error"
"Hint","No Error is not always wrong. It's not a trick answer.",""
