"NewQuestion","MC",""
"ID","InvNormMC1-1",""
"Title","InvNormMC1-1",""
"QuestionText","Given that some normally distributed data has a mean of 907.4 and a standard deviation of 120.7. What is the value x of this dataset where 41% of all other data values are less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","958.4"
"Option","0","582.4"
"Option","0","1137.5"
"Option","100","879.6"
"Hint","This is an inverted or 'backward' Z-table question. Pick the closest answer.",""
"Feedback","1: Find the closest probability on the Z-table. 2: Find the Z value. 3: Calculate the value x.",""
"NewQuestion","MC",""
"ID","InvNormMC1-2",""
"Title","InvNormMC1-2",""
"QuestionText","Given that some normally distributed data has a mean of 1337.5 and a standard deviation of 104.9. What is the value x of this dataset where 23% of all other data values are less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","928.2"
"Option","0","1545"
"Option","100","1259.9"
"Option","0","1394.1"
"Hint","This is an inverted or 'backward' Z-table question. Pick the closest answer.",""
"Feedback","1: Find the closest probability on the Z-table. 2: Find the Z value. 3: Calculate the value x.",""
"NewQuestion","MC",""
"ID","InvNormMC1-3",""
"Title","InvNormMC1-3",""
"QuestionText","Given that some normally distributed data has a mean of 838.7 and a standard deviation of 138.8. What is the value x of this dataset where 5% of all other data values are greater?",""
"Points","4",""
"Difficulty","1",""
"Option","100","1066.3"
"Option","0","296.1"
"Option","0","632.1"
"Option","0","656.9"
"Hint","This is an inverted or 'backward' Z-table question. Pick the closest answer.",""
"Feedback","1: Find the closest probability on the Z-table. 2: Find the Z value. 3: Calculate the value x.",""
"NewQuestion","MC",""
"ID","InvNormMC1-4",""
"Title","InvNormMC1-4",""
"QuestionText","Given that some normally distributed data has a mean of 1141.9 and a standard deviation of 102.1. What is the value x of this dataset where 81% of all other data values are less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","765.4"
"Option","0","1345.9"
"Option","0","1442.2"
"Option","100","1231.7"
"Hint","This is an inverted or 'backward' Z-table question. Pick the closest answer.",""
"Feedback","1: Find the closest probability on the Z-table. 2: Find the Z value. 3: Calculate the value x.",""
"NewQuestion","MC",""
"ID","InvNormMC1-5",""
"Title","InvNormMC1-5",""
"QuestionText","Given that some normally distributed data has a mean of 550.2 and a standard deviation of 91.5. What is the value x of this dataset where 95% of all other data values are less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","501.1"
"Option","100","700.3"
"Option","0","465.4"
"Option","0","345.2"
"Hint","This is an inverted or 'backward' Z-table question. Pick the closest answer.",""
"Feedback","1: Find the closest probability on the Z-table. 2: Find the Z value. 3: Calculate the value x.",""
"NewQuestion","MC",""
"ID","InvNormMC1-6",""
