"NewQuestion","MC",""
"ID","MeanCIMC2-1",""
"Title","MeanCIMC2-1",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 26 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 59.23. Using the new sample, the CDC calculates a 95% confidence interval of (58.29, 64.06) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Yes"
"Option","0","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-2",""
"Title","MeanCIMC2-2",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 27 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 59.01. Using the new sample, the CDC calculates a 95% confidence interval of (57.97, 63.62) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Yes"
"Option","0","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-3",""
"Title","MeanCIMC2-3",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 23 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 55.13. Using the new sample, the CDC calculates a 95% confidence interval of (61.08, 67.62) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Yes"
"Option","100","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-4",""
"Title","MeanCIMC2-4",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 21 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 56.67. Using the new sample, the CDC calculates a 95% confidence interval of (59.64, 65.62) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Yes"
"Option","100","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-5",""
"Title","MeanCIMC2-5",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 22 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 56.73. Using the new sample, the CDC calculates a 95% confidence interval of (50.78, 57.05) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Yes"
"Option","0","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-6",""
"Title","MeanCIMC2-6",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 28 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 57.31. Using the new sample, the CDC calculates a 95% confidence interval of (54.99, 60.17) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Yes"
"Option","0","No"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-7",""
"Title","MeanCIMC2-7",""
"QuestionText","The CDC conducts biometric research on the US populaton. A sample of 24 US citizens' heights is collected. Previous CDC research indicates that all US citizens have an average height of 55.11. Using the new sample, the CDC calculates a 95% confidence interval of (61.32, 68.92) for the height of all US citizens. Was the confidence interval successful?",""
"Points","4",""
"Difficulty","1",""
"Option","100","No"
"Option","0","Yes"
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain the true population mean?",""
"NewQuestion","MC",""
"ID","MeanCIMC2-8",""
"Title","MeanCIMC2-8",""
