"NewQuestion","MC",""
"ID","MedianMC1-1",""
"Title","MedianMC1-1",""
"QuestionText","What is the median of the following dataset?  Data:  316,  49.8,  415.8,  343.9,  434.7",""
"Points","4",""
"Difficulty","1",""
"Option","0","465.2"
"Option","0","415.7"
"Option","100","343.9"
"Option","0","181.6"
"Hint","Sort the data first.",""
"Feedback","Sort and find the middle number, or take the average of the two middle numbers.",""
"NewQuestion","MC",""
"ID","MedianMC1-2",""
"Title","MedianMC1-2",""
"QuestionText","What is the median of the following dataset?  Data:  912.4,  872.9,  871.8,  790.8,  475.1,  1005.8",""
"Points","4",""
"Difficulty","1",""
"Option","100","872.3"
"Option","0","1016.3"
"Option","0","1196.2"
"Option","0","683.7"
"Hint","Sort the data first.",""
"Feedback","Sort and find the middle number, or take the average of the two middle numbers.",""
"NewQuestion","MC",""
"ID","MedianMC1-3",""
"Title","MedianMC1-3",""
"QuestionText","What is the median of the following dataset?  Data:  1130.6,  698.3,  1001.4,  402.6,  780.9,  614.9",""
"Points","4",""
"Difficulty","1",""
"Option","0","267.1"
"Option","0","1093"
"Option","100","739.6"
"Option","0","788.2"
"Hint","Sort the data first.",""
"Feedback","Sort and find the middle number, or take the average of the two middle numbers.",""
"NewQuestion","MC",""
"ID","MedianMC1-4",""
"Title","MedianMC1-4",""
"QuestionText","What is the median of the following dataset?  Data:  1040.4,  1221,  1143,  896.1,  1280.3",""
"Points","4",""
"Difficulty","1",""
"Option","0","1185.9"
"Option","0","1194.7"
"Option","0","919.9"
"Option","100","1143"
"Hint","Sort the data first.",""
"Feedback","Sort and find the middle number, or take the average of the two middle numbers.",""
"NewQuestion","MC",""
"ID","MedianMC1-5",""
"Title","MedianMC1-5",""
"QuestionText","What is the median of the following dataset?  Data:  976.4,  818.7,  843.2,  583.7,  380.6,  676.8",""
"Points","4",""
"Difficulty","1",""
"Option","0","849.9"
"Option","0","878.9"
"Option","0","1003.6"
"Option","100","747.8"
"Hint","Sort the data first.",""
"Feedback","Sort and find the middle number, or take the average of the two middle numbers.",""
"NewQuestion","MC",""
"ID","MedianMC1-6",""
"Title","MedianMC1-6",""
"QuestionText","What is the median of the following dataset?  Data:  910.2,  1028,  1286.8,  763.4,  1328.2",""
"Points","4",""
"Difficulty","1",""
"Option","0","881.1"
"Option","0","1288.3"
"Option","0","856.8"
"Option","100","1028"
"Hint","Sort the data first.",""
