"NewQuestion","MC",""
"ID","NormDistMC1-1",""
"Title","NormDistMC1-1",""
"QuestionText","Given that some normally distributed data has a mean of 704.818 and a standard deviation of 144.324. What is the probability that a randomly sampled datapoint will be less than 746.592?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.025"
"Option","100","0.614"
"Option","0","0.465"
"Option","0","0.084"
"Hint","You'll need your Z-table for this question.",""
"Feedback","1: Calculate Z. 2: Find area below on the Z-table.",""
"NewQuestion","MC",""
"ID","NormDistMC1-2",""
"Title","NormDistMC1-2",""
"QuestionText","Given that some normally distributed data has a mean of 815.595 and a standard deviation of 104.576. What is the probability that a randomly sampled datapoint will be less than 894.166?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.773"
"Option","0","0.439"
"Option","0","0.224"
"Option","0","0.326"
"Hint","You'll need your Z-table for this question.",""
"Feedback","1: Calculate Z. 2: Find area below on the Z-table.",""
"NewQuestion","MC",""
"ID","NormDistMC1-3",""
"Title","NormDistMC1-3",""
"QuestionText","Given that some normally distributed data has a mean of 1148.218 and a standard deviation of 105.403. What is the probability that a randomly sampled datapoint will be less than 1175.544?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.517"
"Option","0","0.944"
"Option","0","0.99"
"Option","100","0.603"
"Hint","You'll need your Z-table for this question.",""
"Feedback","1: Calculate Z. 2: Find area below on the Z-table.",""
"NewQuestion","MC",""
"ID","NormDistMC1-4",""
"Title","NormDistMC1-4",""
"QuestionText","Given that some normally distributed data has a mean of 248.015 and a standard deviation of 71.935. What is the probability that a randomly sampled datapoint will be less than 161.019?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.113"
"Option","0","0.22"
"Option","0","0.509"
"Option","0","1.011"
"Hint","You'll need your Z-table for this question.",""
"Feedback","1: Calculate Z. 2: Find area below on the Z-table.",""
"NewQuestion","MC",""
"ID","NormDistMC1-5",""
"Title","NormDistMC1-5",""
"QuestionText","Given that some normally distributed data has a mean of 304.605 and a standard deviation of 120.39. What is the probability that a randomly sampled datapoint will be less than 384.305?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.879"
"Option","100","0.745"
"Option","0","0.55"
"Option","0","0.329"
"Hint","You'll need your Z-table for this question.",""
"Feedback","1: Calculate Z. 2: Find area below on the Z-table.",""
"NewQuestion","MC",""
"ID","NormDistMC1-6",""
"Title","NormDistMC1-6",""
"QuestionText","Given that some normally distributed data has a mean of 852.999 and a standard deviation of 101.771. What is the probability that a randomly sampled datapoint will be less than 918.585?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.739"
"Option","0","0.639"
"Option","0","0.161"
"Option","0","0.8"
