"NewQuestion","MC",""
"ID","ORCIMC2-1",""
"Title","ORCIMC2-1",""
"QuestionText","A researcher compares odds from two independent samples. She calculates a 95% confidence interval of (0.14, 0.19) for the odds ratio between the two samples. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The odds ratio is insignificant at the 95% confidence level."
"Option","0","The sample odds ratio is contained within the confidence interval."
"Option","0","One is contained within the confidence interval."
"Option","100","The odds ratio is significant at the 95% confidence level."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 1?",""
"NewQuestion","MC",""
"ID","ORCIMC2-2",""
"Title","ORCIMC2-2",""
"QuestionText","A researcher compares odds from two independent samples. She calculates a 95% confidence interval of (0.42, 1.47) for the odds ratio between the two samples. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The odds ratio is significant at the 95% confidence level."
"Option","100","The odds ratio is insignificant at the 95% confidence level."
"Option","0","One is not contained within the confidence interval."
"Option","0","The result is significant, thus the p-value is less than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 1?",""
"NewQuestion","MC",""
"ID","ORCIMC2-3",""
"Title","ORCIMC2-3",""
"QuestionText","A researcher compares odds from two independent samples. She calculates a 95% confidence interval of (0.95, 2) for the odds ratio between the two samples. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The odds ratio is significant at the 95% confidence level."
"Option","0","The sample odds ratio is not contained within the confidence interval."
"Option","100","The odds ratio is insignificant at the 95% confidence level."
"Option","0","The result is significant, thus the p-value is less than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 1?",""
"NewQuestion","MC",""
"ID","ORCIMC2-4",""
"Title","ORCIMC2-4",""
"QuestionText","A researcher compares odds from two independent samples. She calculates a 95% confidence interval of (0.57, 0.62) for the odds ratio between the two samples. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The odds ratio is significant at the 95% confidence level."
"Option","0","The sample odds ratio is contained within the confidence interval."
"Option","0","One is contained within the confidence interval."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 1?",""
"NewQuestion","MC",""
"ID","ORCIMC2-5",""
"Title","ORCIMC2-5",""
"QuestionText","A researcher compares odds from two independent samples. She calculates a 95% confidence interval of (0.9, 1.95) for the odds ratio between the two samples. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The odds ratio is insignificant at the 95% confidence level."
"Option","0","The sample odds ratio is not contained within the confidence interval."
"Option","0","One is not contained within the confidence interval."
