"NewQuestion","MC",""
"ID","PropCIMC1-1",""
"Title","PropCIMC1-1",""
"QuestionText","A student conducts a survey for her class project. She asks 34 other students a series of questions about their study habits. She knows from previous research that 0.41 of all students study for 4 or more hours per day. If 0.35 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.56, 0.65)"
"Option","0","(0.67, 0.96)"
"Option","100","(0.19, 0.51)"
"Option","0","(0.62, 0.65)"
"Option","0","(0.05, 0.97)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-2",""
"Title","PropCIMC1-2",""
"QuestionText","A student conducts a survey for her class project. She asks 36 other students a series of questions about their study habits. She knows from previous research that 0.47 of all students study for 4 or more hours per day. If 0.4 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(0.24, 0.56)"
"Option","0","(0.03, 0.12)"
"Option","0","(0.64, 0.71)"
"Option","0","(0.05, 0.14)"
"Option","0","(0.76, 0.78)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-3",""
"Title","PropCIMC1-3",""
"QuestionText","A student conducts a survey for her class project. She asks 34 other students a series of questions about their study habits. She knows from previous research that 0.55 of all students study for 4 or more hours per day. If 0.35 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.06, 0.76)"
"Option","100","(0.19, 0.51)"
"Option","0","(0.85, 0.91)"
"Option","0","(0.61, 1)"
"Option","0","(0.7, 1)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-4",""
"Title","PropCIMC1-4",""
"QuestionText","A student conducts a survey for her class project. She asks 26 other students a series of questions about their study habits. She knows from previous research that 0.51 of all students study for 4 or more hours per day. If 0.38 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.04, 0.96)"
"Option","0","(0.1, 0.81)"
"Option","0","(0.03, 0.98)"
"Option","0","(0.84, 0.99)"
"Option","100","(0.19, 0.57)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-5",""
"Title","PropCIMC1-5",""
"QuestionText","A student conducts a survey for her class project. She asks 35 other students a series of questions about their study habits. She knows from previous research that 0.48 of all students study for 4 or more hours per day. If 0.36 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.63, 0.7)"
"Option","0","(0.83, 0.88)"
"Option","100","(0.2, 0.52)"
"Option","0","(0.79, 1.01)"
"Option","0","(0.01, 0.94)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-6",""
"Title","PropCIMC1-6",""
"QuestionText","A student conducts a survey for her class project. She asks 25 other students a series of questions about their study habits. She knows from previous research that 0.47 of all students study for 4 or more hours per day. If 0.31 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(0.13, 0.49)"
"Option","0","(0.7, 0.78)"
"Option","0","(0.82, 0.97)"
"Option","0","(0.59, 1)"
"Option","0","(0.97, 1.01)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-7",""
"Title","PropCIMC1-7",""
"QuestionText","A student conducts a survey for her class project. She asks 22 other students a series of questions about their study habits. She knows from previous research that 0.53 of all students study for 4 or more hours per day. If 0.39 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.08, 0.7)"
"Option","0","(0.04, 0.09)"
"Option","100","(0.19, 0.59)"
"Option","0","(0.01, 0.74)"
"Option","0","(0.83, 0.96)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-8",""
"Title","PropCIMC1-8",""
"QuestionText","A student conducts a survey for her class project. She asks 38 other students a series of questions about their study habits. She knows from previous research that 0.55 of all students study for 4 or more hours per day. If 0.37 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.03, 0.73)"
"Option","0","(0.67, 0.72)"
"Option","0","(0.59, 0.8)"
"Option","100","(0.22, 0.52)"
"Option","0","(0.91, 0.94)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-9",""
"Title","PropCIMC1-9",""
"QuestionText","A student conducts a survey for her class project. She asks 35 other students a series of questions about their study habits. She knows from previous research that 0.49 of all students study for 4 or more hours per day. If 0.33 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.6, 0.66)"
"Option","0","(0.54, 0.96)"
"Option","0","(0.54, 0.99)"
"Option","0","(0.56, 0.86)"
"Option","100","(0.17, 0.49)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-10",""
"Title","PropCIMC1-10",""
"QuestionText","A student conducts a survey for her class project. She asks 29 other students a series of questions about their study habits. She knows from previous research that 0.55 of all students study for 4 or more hours per day. If 0.44 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.07, 0.68)"
"Option","100","(0.26, 0.62)"
"Option","0","(0.74, 0.91)"
"Option","0","(0.83, 0.97)"
"Option","0","(0.91, 0.92)"
"Hint","You'll need to calculate a confidence interval for a single proportion. Pick the closest answer.",""
"Feedback","Did you use phat - 1.96*sqrt(phat*qhat/n), and phat + 1.96*sqrt(phat*qhat/n)?",""
"NewQuestion","MC",""
"ID","PropCIMC1-11",""
"Title","PropCIMC1-11",""
"QuestionText","A student conducts a survey for her class project. She asks 32 other students a series of questions about their study habits. She knows from previous research that 0.45 of all students study for 4 or more hours per day. If 0.44 of her own sample study for 4 or more hours per day, what is the 95% confidence interval for the true population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.11, 0.9)"
