"NewQuestion","MC",""
"ID","PropEVSDMC1-1",""
"Title","PropEVSDMC1-1",""
"QuestionText","In general, 0.17 of all students default on their student loan debt. A sample of 566 students with student loan debt is randomly selected and it's found that 99 of them default. What is the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.26"
"Option","100","0.17"
"Option","0","0.08"
"Option","0","0.19"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-2",""
"Title","PropEVSDMC1-2",""
"QuestionText","In general, 0.25 of all students default on their student loan debt. A sample of 597 students with student loan debt is randomly selected and it's found that 134 of them default. What is the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.22"
"Option","0","0.11"
"Option","0","0.19"
"Option","0","0.14"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-3",""
"Title","PropEVSDMC1-3",""
"QuestionText","In general, 0.17 of all students default on their student loan debt. A sample of 524 students with student loan debt is randomly selected and it's found that 73 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.11"
"Option","100","0.17"
"Option","0","0.05"
"Option","0","0.06"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-4",""
"Title","PropEVSDMC1-4",""
"QuestionText","In general, 0.29 of all students default on their student loan debt. A sample of 539 students with student loan debt is randomly selected and it's found that 71 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.2"
"Option","0","0.15"
"Option","100","0.29"
"Option","0","0.1"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-5",""
"Title","PropEVSDMC1-5",""
"QuestionText","In general, 0.19 of all students default on their student loan debt. A sample of 559 students with student loan debt is randomly selected and it's found that 96 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.19"
"Option","0","0.1"
"Option","0","0.06"
"Option","0","0.04"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-6",""
"Title","PropEVSDMC1-6",""
"QuestionText","In general, 0.25 of all students default on their student loan debt. A sample of 557 students with student loan debt is randomly selected and it's found that 100 of them default. What is the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.12"
"Option","0","0.05"
"Option","100","0.18"
"Option","0","0.07"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-7",""
"Title","PropEVSDMC1-7",""
"QuestionText","In general, 0.27 of all students default on their student loan debt. A sample of 600 students with student loan debt is randomly selected and it's found that 139 of them default. What is the standard deviation of the sample proportion's sampling distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.15"
"Option","0","0.04"
"Option","100","0.02"
"Option","0","0.11"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-8",""
"Title","PropEVSDMC1-8",""
"QuestionText","In general, 0.17 of all students default on their student loan debt. A sample of 548 students with student loan debt is randomly selected and it's found that 81 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.1"
"Option","100","0.02"
"Option","0","0.19"
"Option","0","0.16"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-9",""
"Title","PropEVSDMC1-9",""
"QuestionText","In general, 0.22 of all students default on their student loan debt. A sample of 528 students with student loan debt is randomly selected and it's found that 59 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.18"
"Option","100","0.22"
"Option","0","0.14"
"Option","0","0.12"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-10",""
"Title","PropEVSDMC1-10",""
"QuestionText","In general, 0.27 of all students default on their student loan debt. A sample of 551 students with student loan debt is randomly selected and it's found that 83 of them default. What is the standard deviation of the sample proportion's sampling distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.02"
"Option","0","0.13"
"Option","0","0.2"
"Option","0","0.04"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-11",""
"Title","PropEVSDMC1-11",""
"QuestionText","In general, 0.3 of all students default on their student loan debt. A sample of 566 students with student loan debt is randomly selected and it's found that 100 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.1"
"Option","0","0.18"
"Option","100","0.02"
"Option","0","0.07"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-12",""
"Title","PropEVSDMC1-12",""
"QuestionText","In general, 0.29 of all students default on their student loan debt. A sample of 550 students with student loan debt is randomly selected and it's found that 95 of them default. What is the standard deviation of the sample proportion's sampling distribution?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.19"
"Option","100","0.02"
"Option","0","0.04"
"Option","0","0.08"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-13",""
"Title","PropEVSDMC1-13",""
"QuestionText","In general, 0.29 of all students default on their student loan debt. A sample of 553 students with student loan debt is randomly selected and it's found that 84 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.11"
"Option","100","0.02"
"Option","0","0.06"
"Option","0","0.04"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-14",""
"Title","PropEVSDMC1-14",""
"QuestionText","In general, 0.26 of all students default on their student loan debt. A sample of 597 students with student loan debt is randomly selected and it's found that 141 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.1"
"Option","0","0.18"
"Option","0","0.11"
"Option","100","0.02"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-15",""
"Title","PropEVSDMC1-15",""
"QuestionText","In general, 0.23 of all students default on their student loan debt. A sample of 500 students with student loan debt is randomly selected and it's found that 49 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.09"
"Option","100","0.01"
"Option","0","0.08"
"Option","0","0.15"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-16",""
"Title","PropEVSDMC1-16",""
"QuestionText","In general, 0.25 of all students default on their student loan debt. A sample of 582 students with student loan debt is randomly selected and it's found that 130 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.19"
"Option","100","0.02"
"Option","0","0.08"
"Option","0","0.13"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-17",""
"Title","PropEVSDMC1-17",""
"QuestionText","In general, 0.16 of all students default on their student loan debt. A sample of 584 students with student loan debt is randomly selected and it's found that 134 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.02"
"Option","0","0.18"
"Option","0","0.07"
"Option","0","0.1"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-18",""
"Title","PropEVSDMC1-18",""
"QuestionText","In general, 0.22 of all students default on their student loan debt. A sample of 597 students with student loan debt is randomly selected and it's found that 144 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.2"
"Option","0","0.1"
"Option","0","0.11"
"Option","100","0.02"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-19",""
"Title","PropEVSDMC1-19",""
"QuestionText","In general, 0.21 of all students default on their student loan debt. A sample of 506 students with student loan debt is randomly selected and it's found that 53 of them default. What is the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.01"
"Option","100","0.1"
"Option","0","0.05"
"Option","0","0.07"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-20",""
"Title","PropEVSDMC1-20",""
"QuestionText","In general, 0.24 of all students default on their student loan debt. A sample of 572 students with student loan debt is randomly selected and it's found that 106 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.2"
"Option","0","0.18"
"Option","0","0.06"
"Option","100","0.02"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-21",""
"Title","PropEVSDMC1-21",""
"QuestionText","In general, 0.27 of all students default on their student loan debt. A sample of 516 students with student loan debt is randomly selected and it's found that 52 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.1"
"Option","0","0.16"
"Option","0","0.19"
"Option","100","0.01"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-22",""
"Title","PropEVSDMC1-22",""
"QuestionText","In general, 0.16 of all students default on their student loan debt. A sample of 566 students with student loan debt is randomly selected and it's found that 103 of them default. What is the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.22"
"Option","0","0.24"
"Option","100","0.18"
"Option","0","0.05"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-23",""
"Title","PropEVSDMC1-23",""
"QuestionText","In general, 0.28 of all students default on their student loan debt. A sample of 566 students with student loan debt is randomly selected and it's found that 103 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.22"
"Option","100","0.28"
"Option","0","0.12"
"Option","0","0.11"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-24",""
"Title","PropEVSDMC1-24",""
"QuestionText","In general, 0.29 of all students default on their student loan debt. A sample of 579 students with student loan debt is randomly selected and it's found that 110 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.02"
"Option","0","0.11"
"Option","0","0.18"
"Option","0","0.04"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-25",""
"Title","PropEVSDMC1-25",""
"QuestionText","In general, 0.21 of all students default on their student loan debt. A sample of 524 students with student loan debt is randomly selected and it's found that 54 of them default. What is the population proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.21"
"Option","0","0.11"
"Option","0","0.13"
"Option","0","0.15"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
"Feedback","Sample proportion = x/n. Standard Error = sqrt(pq/n). Population proportion = p.",""
"NewQuestion","MC",""
"ID","PropEVSDMC1-26",""
"Title","PropEVSDMC1-26",""
"QuestionText","In general, 0.24 of all students default on their student loan debt. A sample of 509 students with student loan debt is randomly selected and it's found that 49 of them default. What is the standard error of the sample proportion?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.09"
"Option","0","0.19"
"Option","0","0.08"
"Option","100","0.01"
"Hint","Find the appropriate formula from the coursepack's chapter on the distribution of the sample proportion.",""
