"NewQuestion","MC",""
"ID","QuartMC1-1",""
"Title","QuartMC1-1",""
"QuestionText","What is the first quartile of the following dataset?    1160.9,  796.1,  954.3,  1010.2,  764.8,  811.2,  659.9,  860.7,  1003.8,  852.1,  1178.1,  1503.4,  1128,  1022.8,  797.3",""
"Points","4",""
"Difficulty","1",""
"Option","0","1421.8"
"Option","0","518.7"
"Option","100","797.3"
"Option","0","635.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-2",""
"Title","QuartMC1-2",""
"QuestionText","What is the first quartile of the following dataset?    660.7,  564.6,  588.8,  496,  765.2,  275.9,  253.2,  770.7,  441.6,  629.3,  174.6,  219,  572.9,  31.3",""
"Points","4",""
"Difficulty","1",""
"Option","0","872.8"
"Option","0","-423.5"
"Option","0","126.1"
"Option","100","236.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-3",""
"Title","QuartMC1-3",""
"QuestionText","What is the third quartile of the following dataset?    485.6,  311.8,  392.7,  357.6,  237,  278,  362.3,  147.6,  -43.9,  415.7,  254,  424.7,  388.4,  137.2,  228.8",""
"Points","4",""
"Difficulty","1",""
"Option","100","392.7"
"Option","0","740.8"
"Option","0","277.2"
"Option","0","193"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-4",""
"Title","QuartMC1-4",""
"QuestionText","What is the third quartile of the following dataset?    854.5,  424.5,  591.7,  608.2,  400.1,  773.4,  506.4,  368.4,  601.4,  566.5,  633.9,  469.4,  520.4,  863.2,  571.9",""
"Points","4",""
"Difficulty","1",""
"Option","100","633.9"
"Option","0","1081.4"
"Option","0","566.3"
"Option","0","905.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-5",""
"Title","QuartMC1-5",""
"QuestionText","What is the third quartile of the following dataset?    904.5,  977.5,  1251.1,  1240.5,  1306,  985.9,  1431.2,  1145.3,  1331.7,  1185.1,  1201.9,  1004.4,  1191.6,  1408.3",""
"Points","4",""
"Difficulty","1",""
"Option","100","1318.8"
"Option","0","1112.9"
"Option","0","1223.4"
"Option","0","1558"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-6",""
"Title","QuartMC1-6",""
"QuestionText","What is the first quartile of the following dataset?    444,  386.5,  275.7,  666.9,  420.2,  213.8,  820.6,  406.6,  455.2,  -73,  237.5",""
"Points","4",""
"Difficulty","1",""
"Option","0","318.4"
"Option","0","-371.7"
"Option","100","237.5"
"Option","0","-353.2"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-7",""
"Title","QuartMC1-7",""
"QuestionText","What is the third quartile of the following dataset?    842.3,  399.9,  943.6,  841.3,  605.1,  604.2,  989.8,  497.8,  413.7,  657.5,  765.9,  546.2,  693.7,  891.3,  667.3",""
"Points","4",""
"Difficulty","1",""
"Option","0","1018.8"
"Option","0","1006.7"
"Option","0","486.2"
"Option","100","842.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-8",""
"Title","QuartMC1-8",""
"QuestionText","What is the third quartile of the following dataset?    701.9,  1014.9,  774.2,  624.8,  855.5,  583.5,  420.6,  883,  855.9,  569,  812.3,  1008.6",""
"Points","4",""
"Difficulty","1",""
"Option","0","1187.5"
"Option","100","869.5"
"Option","0","537.3"
"Option","0","1039.4"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-9",""
"Title","QuartMC1-9",""
"QuestionText","What is the first quartile of the following dataset?    450.9,  537.8,  506.3,  409.6,  350.8,  48.9,  7.8,  243.4,  311.7,  348.7,  670.7,  497",""
"Points","4",""
"Difficulty","1",""
"Option","100","277.6"
"Option","0","608.2"
"Option","0","-0.7"
"Option","0","453"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-10",""
"Title","QuartMC1-10",""
"QuestionText","What is the third quartile of the following dataset?    960.3,  571.4,  603.4,  850.6,  167.6,  726.5,  485,  379.7,  233.5,  685.4,  401.3,  556.7,  634.4,  507.5,  624.6",""
"Points","4",""
"Difficulty","1",""
"Option","100","685.4"
"Option","0","342.8"
"Option","0","925"
"Option","0","1307.7"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-11",""
"Title","QuartMC1-11",""
"QuestionText","What is the third quartile of the following dataset?    612.3,  913.4,  823.4,  579.5,  939.1,  997.7,  909,  600.7,  750.6,  451,  1233,  757.6,  678.6,  1018.6",""
"Points","4",""
"Difficulty","1",""
"Option","0","1373.3"
"Option","0","1073.7"
"Option","0","1347.4"
"Option","100","968.4"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-12",""
"Title","QuartMC1-12",""
"QuestionText","What is the third quartile of the following dataset?    1004.2,  848.2,  939.6,  608.8,  978,  818.9,  974.4,  1337.4,  856.4,  1072.3,  918.1,  1151.6,  894.4,  1232",""
"Points","4",""
"Difficulty","1",""
"Option","0","637.4"
"Option","0","1340.1"
"Option","0","1428.5"
"Option","100","1111.9"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-13",""
"Title","QuartMC1-13",""
"QuestionText","What is the third quartile of the following dataset?    577.4,  759.2,  764,  385.7,  571.4,  70.9,  853.5,  805.6,  455.4,  746.4,  856.4,  577.9,  671.6",""
"Points","4",""
"Difficulty","1",""
"Option","0","926.4"
"Option","0","1353.9"
"Option","100","784.8"
"Option","0","432.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-14",""
"Title","QuartMC1-14",""
"QuestionText","What is the third quartile of the following dataset?    138.5,  142.3,  562.9,  732.2,  703.3,  367.3,  405.6,  682.3,  512.6,  571.6,  205.4",""
"Points","4",""
"Difficulty","1",""
"Option","0","1270.2"
"Option","100","682.3"
"Option","0","621.8"
"Option","0","964.5"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-15",""
"Title","QuartMC1-15",""
"QuestionText","What is the third quartile of the following dataset?    809.7,  744.3,  752.3,  1017.3,  1022.8,  366.7,  993.6,  1181.2,  957.1,  677.8,  1040.7",""
"Points","4",""
"Difficulty","1",""
"Option","100","1022.8"
"Option","0","580.6"
"Option","0","1231.4"
"Option","0","1427.5"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-16",""
"Title","QuartMC1-16",""
"QuestionText","What is the third quartile of the following dataset?    1567.6,  1074.4,  1308.9,  1030.7,  1213.8,  984.5,  791.4,  1485.8,  1070.4,  1311.1,  1474.9,  1058.5,  1281.1,  1260.5",""
"Points","4",""
"Difficulty","1",""
"Option","100","1393"
"Option","0","1915"
"Option","0","809.2"
"Option","0","1724.9"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-17",""
"Title","QuartMC1-17",""
"QuestionText","What is the first quartile of the following dataset?    1123.8,  961.6,  1157.5,  1152.3,  1246.5,  930.7,  974,  1290.5,  1028.8,  601.9,  1201.5",""
"Points","4",""
"Difficulty","1",""
"Option","0","1418.3"
"Option","0","725.1"
"Option","0","1308.9"
"Option","100","961.6"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-18",""
"Title","QuartMC1-18",""
"QuestionText","What is the third quartile of the following dataset?    1162.9,  1225.7,  1420,  1282.1,  1493.4,  1254,  1558,  1180.9,  902.2,  1273.5,  1188.8,  1408.7,  1143.9,  1713.6,  992.7",""
"Points","4",""
"Difficulty","1",""
"Option","100","1420"
"Option","0","1467.6"
"Option","0","1201.1"
"Option","0","1591.8"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-19",""
"Title","QuartMC1-19",""
"QuestionText","What is the third quartile of the following dataset?    358.3,  283.2,  599.2,  271.4,  526.2,  695.1,  591.3,  760.4,  453.1,  546.2,  130.4,  305.2,  264.3,  609.7,  501.1",""
"Points","4",""
"Difficulty","1",""
"Option","0","1121.9"
"Option","0","906.5"
"Option","100","599.2"
"Option","0","899.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-20",""
"Title","QuartMC1-20",""
"QuestionText","What is the third quartile of the following dataset?    583.1,  716.4,  811,  620.5,  632.4,  597.6,  376,  656.6,  629.4,  1210,  739.7,  525.3,  575.2,  586",""
"Points","4",""
"Difficulty","1",""
"Option","100","728"
"Option","0","947.3"
"Option","0","1176.9"
"Option","0","183.6"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-21",""
"Title","QuartMC1-21",""
"QuestionText","What is the third quartile of the following dataset?    1133.3,  1447.7,  1602.9,  1287.6,  1434.1,  1211.2,  1208.5,  1595.2,  1091.7,  1604.8,  1363.4,  1408.5,  1148.1",""
"Points","4",""
"Difficulty","1",""
"Option","0","1810.3"
"Option","0","1446.1"
"Option","0","1313.5"
"Option","100","1521.4"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-22",""
"Title","QuartMC1-22",""
"QuestionText","What is the third quartile of the following dataset?    357.6,  817.5,  691.4,  449.2,  749.5,  224.5,  671.7,  699.7,  731.9,  328.5,  257.5",""
"Points","4",""
"Difficulty","1",""
"Option","0","1172.7"
"Option","100","731.9"
"Option","0","900.2"
"Option","0","1109.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-23",""
"Title","QuartMC1-23",""
"QuestionText","What is the third quartile of the following dataset?    305.9,  541.9,  359.7,  366.1,  661.7,  514.9,  212.4,  489.2,  570.5,  867.5,  385.4,  466.3,  628.7,  742.4,  618.4",""
"Points","4",""
"Difficulty","1",""
"Option","100","628.7"
"Option","0","884"
"Option","0","524"
"Option","0","241.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-24",""
"Title","QuartMC1-24",""
"QuestionText","What is the third quartile of the following dataset?    1637.5,  1292.3,  931,  994,  1324.8,  1092.4,  1056.4,  1537.6,  1426,  1286.4,  1267.2,  1492.6",""
"Points","4",""
"Difficulty","1",""
"Option","0","1001.2"
"Option","100","1459.3"
"Option","0","1539.4"
"Option","0","883"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-25",""
"Title","QuartMC1-25",""
"QuestionText","What is the first quartile of the following dataset?    348.5,  520.8,  751.3,  143.4,  637.3,  231.9,  508.1,  523.8,  268.3,  511.3,  522.5,  391.7,  494.2",""
"Points","4",""
"Difficulty","1",""
"Option","0","350.2"
"Option","100","308.4"
"Option","0","-169.6"
"Option","0","785.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-26",""
"Title","QuartMC1-26",""
"QuestionText","What is the third quartile of the following dataset?    261.9,  745.3,  635.1,  877.6,  440.8,  834.6,  631.6,  810.9,  646.7,  461.8,  635.7,  966.2,  815.3,  517.9",""
"Points","4",""
"Difficulty","1",""
"Option","0","1138"
"Option","100","825"
"Option","0","782.3"
"Option","0","1265.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-27",""
"Title","QuartMC1-27",""
"QuestionText","What is the first quartile of the following dataset?    175.5,  -189.6,  -532.2,  -166.1,  -171.9,  -399.7,  -475.4,  -415.3,  -157.9,  -492.9,  -131.6,  -273.6,  -107",""
"Points","4",""
"Difficulty","1",""
"Option","100","-445.4"
"Option","0","24.8"
"Option","0","-730"
"Option","0","-27.6"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-28",""
"Title","QuartMC1-28",""
"QuestionText","What is the third quartile of the following dataset?    1094.9,  1073,  1332.1,  1003.9,  907.7,  1087.7,  1403,  1622.2,  1244.1,  1463.5,  1345.1,  1280.1,  855.6,  1113.7,  1469.1",""
"Points","4",""
"Difficulty","1",""
"Option","0","1356.9"
"Option","0","1722.7"
"Option","100","1403"
"Option","0","1583.2"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-29",""
"Title","QuartMC1-29",""
"QuestionText","What is the third quartile of the following dataset?    1064.6,  707.2,  545.3,  984.4,  1121.1,  876.6,  831.5,  1006.6,  756.6,  735.2,  1379.9,  757.2,  587.4,  914.9,  961.2",""
"Points","4",""
"Difficulty","1",""
"Option","100","1006.6"
"Option","0","1403.8"
"Option","0","472.4"
"Option","0","1644.8"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-30",""
"Title","QuartMC1-30",""
"QuestionText","What is the first quartile of the following dataset?    1065.2,  1664.1,  1805.1,  884.3,  1381.2,  1439.7,  1786.5,  1680.6,  1520,  1250.9,  1485.3,  1093.6,  1376.2,  1582,  1492.1",""
"Points","4",""
"Difficulty","1",""
"Option","0","1892.6"
"Option","100","1250.9"
"Option","0","1626.6"
"Option","0","777.1"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-31",""
"Title","QuartMC1-31",""
"QuestionText","What is the first quartile of the following dataset?    609.9,  801.8,  964.2,  508.9,  265.5,  768.6,  904.4,  940.4,  629.8,  616.9,  987.1,  693,  1064",""
"Points","4",""
"Difficulty","1",""
"Option","0","1095.7"
"Option","0","971.3"
"Option","0","467.6"
"Option","100","613.4"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-32",""
"Title","QuartMC1-32",""
"QuestionText","What is the first quartile of the following dataset?    1259.5,  856.8,  1083.8,  1000.3,  1148.9,  789.7,  697.9,  1037.7,  1192.5,  1053.9,  830.5,  1327.8,  1300.3",""
"Points","4",""
"Difficulty","1",""
"Option","0","735.4"
"Option","0","1149.4"
"Option","100","843.6"
"Option","0","716.7"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-33",""
"Title","QuartMC1-33",""
"QuestionText","What is the first quartile of the following dataset?    597.7,  160.1,  184.2,  557.6,  492.5,  769.6,  482.1,  510.4,  716.5,  564.7,  494,  696.1,  623.4,  607.5,  75",""
"Points","4",""
"Difficulty","1",""
"Option","100","482.1"
"Option","0","-82.8"
"Option","0","987.5"
"Option","0","675"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-34",""
"Title","QuartMC1-34",""
"QuestionText","What is the third quartile of the following dataset?    33.6,  314.6,  664.8,  726.4,  678.2,  571.5,  540.3,  275.3,  733.8,  377.6,  386,  714.4,  428.6",""
"Points","4",""
"Difficulty","1",""
"Option","0","1161.5"
"Option","0","1167.1"
"Option","0","77"
"Option","100","696.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-35",""
"Title","QuartMC1-35",""
"QuestionText","What is the third quartile of the following dataset?    893.8,  583.6,  697.9,  1046,  1206.1,  933.9,  644.1,  976.5,  1023.5,  997.4,  920.2",""
"Points","4",""
"Difficulty","1",""
"Option","100","1023.5"
"Option","0","717.3"
"Option","0","987.6"
"Option","0","1062.7"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-36",""
"Title","QuartMC1-36",""
"QuestionText","What is the third quartile of the following dataset?    1161.7,  1416.2,  1407.5,  1147.3,  1316.6,  1247.4,  1290.7,  1478.5,  1446.1,  1477.9,  1335.4",""
"Points","4",""
"Difficulty","1",""
"Option","0","1708.1"
"Option","0","1716.6"
"Option","100","1446.1"
"Option","0","1539.7"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-37",""
"Title","QuartMC1-37",""
"QuestionText","What is the first quartile of the following dataset?    1688.9,  1725.9,  1590.3,  1401.1,  1472.8,  1582.1,  1743.7,  1498.1,  1523.1,  1467.3,  1357.8",""
"Points","4",""
"Difficulty","1",""
"Option","100","1467.3"
"Option","0","1180.9"
"Option","0","1215.6"
"Option","0","1791.3"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-38",""
"Title","QuartMC1-38",""
"QuestionText","What is the first quartile of the following dataset?    870.6,  787.3,  1537.9,  1120.9,  1000.3,  851.7,  990.2,  872.6,  536.8,  767.1,  793.9",""
"Points","4",""
"Difficulty","1",""
"Option","100","787.3"
"Option","0","877.9"
"Option","0","1150.8"
"Option","0","1419.4"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
"ID","QuartMC1-39",""
"Title","QuartMC1-39",""
"QuestionText","What is the first quartile of the following dataset?    335.9,  114.8,  324,  248,  149.1,  148.5,  515.4,  484.2,  369.9,  761.7,  -118.8,  559.1",""
"Points","4",""
"Difficulty","1",""
"Option","0","707.8"
"Option","0","-276.1"
"Option","0","-441.9"
"Option","100","148.8"
"Hint","Sort the data first.",""
"Feedback","Sort the data, then find either the .25(n + 1)st number (Q1) or the .75(n + 1)st number (Q3).",""
"NewQuestion","MC",""
