"NewQuestion","MC",""
"ID","RFTableMC1-1",""
"Title","RFTableMC1-1",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Applied Mathematics?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-1.jpeg",""
"Option","0","25.09%"
"Option","0","24.76%"
"Option","100","5.24%"
"Option","0","37.57%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-2",""
"Title","RFTableMC1-2",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Arabic?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-2.jpeg",""
"Option","0","11.42%"
"Option","0","33.92%"
"Option","0","13.54%"
"Option","100","7.45%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-3",""
"Title","RFTableMC1-3",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Philosophy?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-3.jpeg",""
"Option","100","19.88%"
"Option","0","1.78%"
"Option","0","38.74%"
"Option","0","16.28%"
"Option","0","None of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-4",""
"Title","RFTableMC1-4",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Psychology?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-4.jpeg",""
"Option","0","38.19%"
"Option","0","29.11%"
"Option","0","5.25%"
"Option","0","30.55%"
"Option","100","8.83%"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-5",""
"Title","RFTableMC1-5",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Music?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-5.jpeg",""
"Option","0","0.31%"
"Option","0","2.98%"
"Option","0","15.1%"
"Option","0","10.45%"
"Option","100","7.89%"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-6",""
"Title","RFTableMC1-6",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Occupational Therapy?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-6.jpeg",""
"Option","100","5.94%"
"Option","0","14.26%"
"Option","0","28%"
"Option","0","12.87%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-7",""
"Title","RFTableMC1-7",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Medicine?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-7.jpeg",""
"Option","0","22.54%"
"Option","0","18.93%"
"Option","0","1.24%"
"Option","0","15.84%"
"Option","100","9.22%"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-8",""
"Title","RFTableMC1-8",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Statistics?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-8.jpeg",""
"Option","0","1.93%"
"Option","0","26.07%"
"Option","100","7.27%"
"Option","0","17.65%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-9",""
"Title","RFTableMC1-9",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Mechanical Engineering?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-9.jpeg",""
"Option","0","3.09%"
"Option","100","19.79%"
"Option","0","5.08%"
"Option","0","29.69%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-10",""
"Title","RFTableMC1-10",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Fine Arts?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-10.jpeg",""
"Option","0","39.43%"
"Option","0","18.97%"
"Option","0","34.72%"
"Option","100","12.02%"
"Option","0","None of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-11",""
"Title","RFTableMC1-11",""
"QuestionText","For her class project in statistics, a student researcher decides to survey other students and track the number of ramen noodle eaters she can find in various majors. She decides to summarize her findings in the depicted (incomplete) relative frequency table. What is the relative frequency of ramen noodle eaters who major in Geology?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RFTableMC1-11.jpeg",""
"Option","0","30.83%"
"Option","100","11.68%"
"Option","0","26.83%"
"Option","0","18.06%"
"Option","0","All of These"
"Hint","Read the Data Presentation chapter of your coursepack.",""
"Feedback","For the specified category, calculate frequency over total and multiply by 100%.",""
"NewQuestion","MC",""
"ID","RFTableMC1-12",""
"Title","RFTableMC1-12",""
