"NewQuestion","MC",""
"ID","RRPESEMC1-1",""
"Title","RRPESEMC1-1",""
"QuestionText","Both a new medication and placebo were administered to two separate groups of subjects. The subjects were monitored for recovery from an illness and the results were recorded in the 2x2 contingency table above. What is the risk ratio for recovery in subjects who received the medication vs. those who received the placebo?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RRPESEMC1-1.jpeg",""
"Option","0","2.42"
"Option","0","1.7"
"Option","100","0.95"
"Option","0","2.34"
"Option","0","1.05"
"Hint","You can follow your a, b, c, d formula given in lectures and the coursepack.",""
"Feedback","RR = (a/(a+b))/(c/(c+d)). SE = sqrt(1/a + 1/b - 1/(a+b) - 1/(c+d))",""
"NewQuestion","MC",""
"ID","RRPESEMC1-2",""
"Title","RRPESEMC1-2",""
"QuestionText","Both a new medication and placebo were administered to two separate groups of subjects. The subjects were monitored for recovery from an illness and the results were recorded in the 2x2 contingency table above. What is the risk ratio for recovery in subjects who received the medication vs. those who received the placebo?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RRPESEMC1-2.jpeg",""
"Option","0","0.66"
"Option","0","0.25"
"Option","100","1.72"
"Option","0","1.06"
"Option","0","1.45"
"Hint","You can follow your a, b, c, d formula given in lectures and the coursepack.",""
"Feedback","RR = (a/(a+b))/(c/(c+d)). SE = sqrt(1/a + 1/b - 1/(a+b) - 1/(c+d))",""
"NewQuestion","MC",""
"ID","RRPESEMC1-3",""
"Title","RRPESEMC1-3",""
"QuestionText","Both a new medication and placebo were administered to two separate groups of subjects. The subjects were monitored for recovery from an illness and the results were recorded in the 2x2 contingency table above. What is the risk ratio for recovery in subjects who received the medication vs. those who received the placebo?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RRPESEMC1-3.jpeg",""
"Option","0","0.06"
"Option","100","2.21"
"Option","0","0.91"
"Option","0","1.2"
"Option","0","0.46"
"Hint","You can follow your a, b, c, d formula given in lectures and the coursepack.",""
"Feedback","RR = (a/(a+b))/(c/(c+d)). SE = sqrt(1/a + 1/b - 1/(a+b) - 1/(c+d))",""
"NewQuestion","MC",""
"ID","RRPESEMC1-4",""
"Title","RRPESEMC1-4",""
