"NewQuestion","MC",""
"ID","RegCIMC2-1",""
"Title","RegCIMC2-1",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.16, -0.13) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-2",""
"Title","RegCIMC2-2",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.12, -0.09) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","Zero is contained within the confidence interval."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-3",""
"Title","RegCIMC2-3",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (0.04, 0.07) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-4",""
"Title","RegCIMC2-4",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (0.08, 0.11) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","0","Zero is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-5",""
"Title","RegCIMC2-5",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (0.06, 0.09) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","0","Zero is contained within the confidence interval."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-6",""
"Title","RegCIMC2-6",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.07, -0.04) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-7",""
"Title","RegCIMC2-7",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.07, -0.04) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","0","Zero is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-8",""
"Title","RegCIMC2-8",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.01, 0.02) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is not contained within the confidence interval."
"Option","0","Zero is not contained within the confidence interval."
"Option","0","The result is significant, thus the p-value is less than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-9",""
"Title","RegCIMC2-9",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (0.01, 0.04) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","0","Zero is contained within the confidence interval."
"Option","100","The slope is significant at the 95% confidence level."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-10",""
"Title","RegCIMC2-10",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.2, -0.17) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","The sample slope is contained within the confidence interval."
"Option","0","Zero is contained within the confidence interval."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
"Hint","This is an interpretive question. No calculation is necessary. Consider each bound inclusive.",""
"Feedback","Does the CI contain 0?",""
"NewQuestion","MC",""
"ID","RegCIMC2-11",""
"Title","RegCIMC2-11",""
"QuestionText","A researcher compares variables x and y using linear regression. She calculates a 95% confidence interval of (-0.07, -0.04) for the slope of the regression line. Which of the following statistical inferences should she make?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The slope is insignificant at the 95% confidence level."
"Option","100","The slope is significant at the 95% confidence level."
"Option","0","Zero is contained within the confidence interval."
"Option","0","The result is insignificant, thus the p-value is greater than 0.05."
