"NewQuestion","MC",""
"ID","RegMC1-1",""
"Title","RegMC1-1",""
"QuestionText","A new cardiovascular medication was administered to a group of subjects. The subjects' heartrates (bpm) and weights (lbs) were recorded above after the medication was administered. The standard deviation of the heartrates was 18.96, and the standard deviation of the weights was 38.1. The correlation coefficient between heartrate and weight was -0.17. What is the intercept of the regression line heartrate (y) vs. weight (x) for all who receive this medicine?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RegMC1-1.jpeg",""
"Option","100","118.56"
"Option","0","118.82"
"Option","0","118.98"
"Option","0","118.31"
"Option","0","118.83"
"Hint","You'll need a formula from your chapter on regression. Pick the closest answer.",""
"Feedback","Slope = r*sy/sx. Intercept = mean(bpm) - mean(lbs)*slope",""
"NewQuestion","MC",""
"ID","RegMC1-2",""
"Title","RegMC1-2",""
"QuestionText","A new cardiovascular medication was administered to a group of subjects. The subjects' heartrates (bpm) and weights (lbs) were recorded above after the medication was administered. The standard deviation of the heartrates was 18.62, and the standard deviation of the weights was 33.35. The correlation coefficient between heartrate and weight was -0.27. What is the intercept of the regression line heartrate (y) vs. weight (x) for all who receive this medicine?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RegMC1-2.jpeg",""
"Option","0","139.51"
"Option","0","139.29"
"Option","100","139.76"
"Option","0","139.92"
"Option","0","140.23"
"Hint","You'll need a formula from your chapter on regression. Pick the closest answer.",""
"Feedback","Slope = r*sy/sx. Intercept = mean(bpm) - mean(lbs)*slope",""
"NewQuestion","MC",""
"ID","RegMC1-3",""
"Title","RegMC1-3",""
"QuestionText","A new cardiovascular medication was administered to a group of subjects. The subjects' heartrates (bpm) and weights (lbs) were recorded above after the medication was administered. The standard deviation of the heartrates was 16.43, and the standard deviation of the weights was 42.38. The correlation coefficient between heartrate and weight was 0.16. What is the slope of the regression line heartrate (y) vs. weight (x) for all who receive this medicine?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RegMC1-3.jpeg",""
"Option","0","-0.41"
"Option","0","0.51"
"Option","100","0.06"
"Option","0","-0.45"
"Option","0","0.49"
"Hint","You'll need a formula from your chapter on regression. Pick the closest answer.",""
"Feedback","Slope = r*sy/sx. Intercept = mean(bpm) - mean(lbs)*slope",""
"NewQuestion","MC",""
"ID","RegMC1-4",""
"Title","RegMC1-4",""
"QuestionText","A new cardiovascular medication was administered to a group of subjects. The subjects' heartrates (bpm) and weights (lbs) were recorded above after the medication was administered. The standard deviation of the heartrates was 15.87, and the standard deviation of the weights was 43.65. The correlation coefficient between heartrate and weight was 0.49. What is the intercept of the regression line heartrate (y) vs. weight (x) for all who receive this medicine?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/RegMC1-4.jpeg",""
"Option","0","85.56"
"Option","0","86.04"
"Option","0","85.38"
"Option","0","86.08"
"Option","100","85.84"
"Hint","You'll need a formula from your chapter on regression. Pick the closest answer.",""
"Feedback","Slope = r*sy/sx. Intercept = mean(bpm) - mean(lbs)*slope",""
"NewQuestion","MC",""
"ID","RegMC1-5",""
"Title","RegMC1-5",""
