"NewQuestion","MC",""
"ID","RobustMC1-1",""
"Title","RobustMC1-1",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the least robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The 10% trimmed mean"
"Option","0","The first quartile"
"Option","100","The mean"
"Option","0","A relative frequency"
"Option","0","The minimum"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-2",""
"Title","RobustMC1-2",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the most robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The 10% trimmed mean"
"Option","0","The full range (max - min)"
"Option","100","The median"
"Option","0","The first quartile"
"Option","0","The third quartile"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-3",""
"Title","RobustMC1-3",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the most robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The standard deviation"
"Option","0","The 10% trimmed mean"
"Option","0","The middle 50% range (Q3 - Q1)"
"Option","100","The median"
"Option","0","The minimum"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-4",""
"Title","RobustMC1-4",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the most robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The maximum"
"Option","0","The minimum"
"Option","0","The full range (max - min)"
"Option","100","The median"
"Option","0","A relative frequency"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-5",""
"Title","RobustMC1-5",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the least robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","A relative frequency"
"Option","100","The mean"
"Option","0","The full range (max - min)"
"Option","0","The first quartile"
"Option","0","The third quartile"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-6",""
"Title","RobustMC1-6",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the least robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The full range (max - min)"
"Option","100","The mean"
"Option","0","The first quartile"
"Option","0","The 10% trimmed mean"
"Option","0","The minimum"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
"NewQuestion","MC",""
"ID","RobustMC1-7",""
"Title","RobustMC1-7",""
"QuestionText","A researcher wants to estimate the center of her data's distribution with a statistic that is the least robust. Which statistic should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","The standard deviation"
"Option","0","The full range (max - min)"
"Option","0","The 10% trimmed mean"
"Option","100","The mean"
"Option","0","The first quartile"
"Hint","Remember that 'robust' means insensitive to outliers.",""
"Feedback","The mean is least robust, and the median is most robust.",""
