"NewQuestion","MC",""
"ID","StemGraphMC1-1",""
"Title","StemGraphMC1-1",""
"QuestionText","While analyzing a dataset, a researcher makes a stem and leaf plot of one of her variables. The stem and leaf plot she makes is depicted. What is the largest value?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/StemGraphMC1-1.jpeg",""
"Option","0","5300"
"Option","0","53000"
"Option","0","300"
"Option","0","2700"
"Option","100","8100"
"Hint","Pay close attention to the key given for the plot. As an example, if the key read 'the decimal point is 1 digit to the right of the |, and the number of interest was labeled 1 | 2, then the answer would be 12.",""
"Feedback","Stem and leaf plots are like histograms flipped over. The min is at the top, the middle halfway down, and the max is at the bottom.",""
"NewQuestion","MC",""
"ID","StemGraphMC1-2",""
"Title","StemGraphMC1-2",""
"QuestionText","While analyzing a dataset, a researcher makes a stem and leaf plot of one of her variables. The stem and leaf plot she makes is depicted. What is the second largest value?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/StemGraphMC1-2.jpeg",""
"Option","0","60000"
"Option","100","7800"
"Option","0","33000"
"Option","0","630"
"Option","0","78000"
"Hint","Pay close attention to the key given for the plot. As an example, if the key read 'the decimal point is 1 digit to the right of the |, and the number of interest was labeled 1 | 2, then the answer would be 12.",""
"Feedback","Stem and leaf plots are like histograms flipped over. The min is at the top, the middle halfway down, and the max is at the bottom.",""
"NewQuestion","MC",""
"ID","StemGraphMC1-3",""
"Title","StemGraphMC1-3",""
"QuestionText","While analyzing a dataset, a researcher makes a stem and leaf plot of one of her variables. The stem and leaf plot she makes is depicted. What is the second smallest value?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/StemGraphMC1-3.jpeg",""
"Option","0","7600"
"Option","0","79000"
"Option","0","340"
"Option","0","130"
"Option","100","2500"
"Hint","Pay close attention to the key given for the plot. As an example, if the key read 'the decimal point is 1 digit to the right of the |, and the number of interest was labeled 1 | 2, then the answer would be 12.",""
"Feedback","Stem and leaf plots are like histograms flipped over. The min is at the top, the middle halfway down, and the max is at the bottom.",""
"NewQuestion","MC",""
"ID","StemGraphMC1-4",""
"Title","StemGraphMC1-4",""
"QuestionText","While analyzing a dataset, a researcher makes a stem and leaf plot of one of her variables. The stem and leaf plot she makes is depicted. What is the third smallest value?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/StemGraphMC1-4.jpeg",""
"Option","0","4900"
"Option","0","5900"
"Option","0","64000"
"Option","100","2200"
"Option","0","220"
"Hint","Pay close attention to the key given for the plot. As an example, if the key read 'the decimal point is 1 digit to the right of the |, and the number of interest was labeled 1 | 2, then the answer would be 12.",""
"Feedback","Stem and leaf plots are like histograms flipped over. The min is at the top, the middle halfway down, and the max is at the bottom.",""
"NewQuestion","MC",""
"ID","StemGraphMC1-5",""
"Title","StemGraphMC1-5",""
"QuestionText","While analyzing a dataset, a researcher makes a stem and leaf plot of one of her variables. The stem and leaf plot she makes is depicted. What is the second largest value?",""
"Points","4",""
"Difficulty","1",""
"Image","Images/StemGraphMC1-5.jpeg",""
"Option","0","6000"
"Option","0","6800"
"Option","100","7700"
"Option","0","610"
"Option","0","770"
