"NewQuestion","MC",""
"ID","VarTypeMC1-1",""
"Title","VarTypeMC1-1",""
"QuestionText","A student wants to visualize data that is categorical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Nominal"
"Option","100","Pie Graph"
"Option","0","Ordinal"
"Option","0","Dot Plot"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-2",""
"Title","VarTypeMC1-2",""
"QuestionText","A student wants to visualize data that is categorical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Ordinal"
"Option","0","Stem & Leaf Plot"
"Option","0","Nominal"
"Option","100","Bar Graph"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-3",""
"Title","VarTypeMC1-3",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","100","Histogram"
"Option","0","Ratio"
"Option","0","All of These"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-4",""
"Title","VarTypeMC1-4",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","0","Pie Graph"
"Option","100","Histogram"
"Option","0","All of These"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-5",""
"Title","VarTypeMC1-5",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","0","Pie Graph"
"Option","0","Ratio"
"Option","100","Stem & Leaf Plot"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-6",""
"Title","VarTypeMC1-6",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","0","Pie Graph"
"Option","0","Ratio"
"Option","100","Histogram"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-7",""
"Title","VarTypeMC1-7",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","100","Histogram"
"Option","0","Ratio"
"Option","0","All of These"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-8",""
"Title","VarTypeMC1-8",""
"QuestionText","A student wants to visualize data that is categorical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Dot Plot"
"Option","0","Stem & Leaf Plot"
"Option","0","Box Plot"
"Option","100","Bar Graph"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-9",""
"Title","VarTypeMC1-9",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","100","Stem & Leaf Plot"
"Option","0","Ratio"
"Option","0","All of These"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-10",""
"Title","VarTypeMC1-10",""
"QuestionText","A student wants to visualize data that is categorical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Stem & Leaf Plot"
"Option","0","Ordinal"
"Option","100","Pie Graph"
"Option","0","Dot Plot"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-11",""
"Title","VarTypeMC1-11",""
"QuestionText","A student wants to visualize data that is categorical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","100","Pie Graph"
"Option","0","Histogram"
"Option","0","Ordinal"
"Option","0","Dot Plot"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-12",""
"Title","VarTypeMC1-12",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","100","Box Plot"
"Option","0","Interval"
"Option","0","None of These"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-13",""
"Title","VarTypeMC1-13",""
"QuestionText","A student wants to visualize data that is numerical. What kind of graph should she select for this purpose?",""
"Points","4",""
"Difficulty","1",""
"Option","0","Bar Graph"
"Option","0","Pie Graph"
"Option","0","Ratio"
"Option","100","Box Plot"
"Hint","Focus on the variable type: categorical vs. numeric.",""
"Feedback","Categorical: Bar or Pie. Numeric: Stem & Leaf, Histogram, Dot, or Box.",""
"NewQuestion","MC",""
"ID","VarTypeMC1-14",""
"Title","VarTypeMC1-14",""
